iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
173,17400,-17.04308,1.43227,0.29442,-17.09538,1.12340,0.29292,-16.49026,1.13901,0.27664,-22.31149,0.70355,0.33767
174,17500,-16.90841,1.14461,0.29215,-16.96374,1.15362,0.29159,-16.46424,1.32298,0.27461,-22.26136,0.71379,0.33512
175,17600,-16.95468,1.48875,0.29020,-16.90365,1.15437,0.28887,-16.23644,1.29007,0.27320,-22.27246,0.69213,0.33288
176,17700,-16.97748,1.08710,0.28855,-16.79899,1.12634,0.28697,-16.22758,1.26665,0.27140,-21.98565,0.65035,0.32936
177,17800,-16.80835,1.09378,0.28653,-16.81275,1.28311,0.28527,-16.14874,1.13498,0.26993,-21.96733,0.69370,0.32721
178,17900,-16.67820,1.09955,0.28479,-16.70855,1.17828,0.28332,-16.06318,1.24447,0.26733,-21.81170,0.70708,0.32418
179,18000,-16.62046,1.12767,0.28287,-16.50335,1.17410,0.28091,-15.92320,1.14250,0.26524,-21.62853,0.68380,0.32233
180,18100,-16.48103,1.11702,0.28097,-16.58806,1.27695,0.27899,-15.76718,1.17727,0.26381,-21.50774,0.67930,0.31917
181,18200,-16.56733,1.18539,0.27871,-16.43902,1.24755,0.27695,-15.97246,1.26220,0.26194,-21.44875,0.65731,0.31682
182,18300,-16.36604,1.09326,0.27669,-16.30369,1.12953,0.27544,-15.80307,1.07648,0.25955,-21.23963,0.65956,0.31425
183,18400,-16.29879,1.23037,0.27527,-16.17872,1.04508,0.27358,-15.71598,1.15029,0.25749,-21.21151,0.70179,0.31194
